country,code,count
India,IND,54282
Philippines,PHL,23378
Spain,ESP,22668
Indonesia,IDN,22607
Bosnia and Herzegovina,BIH,19458
Canada,CAN,16852
Viet Nam,VNM,15527
Serbia,SRB,13435
United Kingdom of Great Britain and Northern Ireland,GBR,13267
Mexico,MEX,12196
Italy,ITA,11765
Venezuela (Bolivarian Republic of),VEN,11135
United States of America,USA,10996
Romania,ROU,10703
Croatia,HRV,7644
Brazil,BRA,7095
Portugal,PRT,6612
Pakistan,PAK,6110
Turkey,TUR,5142
Russian Federation,RUS,4833
Argentina,ARG,4760
Singapore,SGP,4039
Malaysia,MYS,4030
Greece,GRC,4001
Hungary,HUN,3680
Germany,DEU,3252
North Macedonia,MKD,3101
Bulgaria,BGR,2763
Uruguay,URY,2624
Chile,CHL,2490
Ireland,IRL,2040
Morocco,MAR,1800
United Arab Emirates,ARE,1702
Poland,POL,1700
Netherlands,NLD,1692
Peru,PER,1601
Egypt,EGY,1481
Switzerland,CHE,1440
Hong Kong,HKG,1430
Belgium,BEL,1421
France,FRA,1420
Bangladesh,BGD,1320
Israel,ISR,1271
Australia,AUS,1240
Slovakia,SVK,1141
Ukraine,UKR,1121
Finland,FIN,1120
Algeria,DZA,971
Japan,JPN,790
Estonia,EST,700
Colombia,COL,630
Uganda,UGA,610
Kenya,KEN,441
El Salvador,SLV,390
Sweden,SWE,360
Puerto Rico,PRI,310
South Africa,ZAF,200
Bahamas,BHS,180
Cyprus,CYP,150
Jordan,JOR,120
Nepal,NPL,90
Austria,AUT,90
Dominican Republic,DOM,80
Kuwait,KWT,70
"Tanzania, United Republic of",TZA,70
Latvia,LVA,40
