prizeplank,1.0,1.0
instagc,0.91,0.93
Central Time (US & Canada),0.0,0.0
bitcoinget,0.96,0.96
tremorgames,0.83,0.81
coinworker,0.84,0.86
neodev,0.84,0.84
zoombucks,0.93,0.92
cotter,0.92,0.92
surveymad,0.85,0.82
tasks4dollars,0.81,0.81
globalactioncash,0.8,0.8
vivatic,0.84,0.84
rewards1,0.88,0.88
getpaid,0.92,0.88
clixsense,0.84,0.85
prodege,0.89,0.86
Eastern Time (US & Canada),0.0,0.0
diamondtask,0.7,0.7
gifthunterclub,0.86,0.88
prizerebel,0.95,0.95
eup_slw,0.7,0.7
memolink,0.97,0.97
task_ph,0.86,0.86
sharecashgpt,0.92,0.92
elite,0.87,0.86
"Rossford, Ohio",0.0,0.0
Atlantic Time (Canada),0.0,0.0
London,0.0,0.0
keeprewarding,0.87,0.87
inboxpounds,0.94,0.94
